url,title,status,created_at
https://www.facebook.com/share/p/187oq6GaNT/?,Claude AI Skills-funktionen för att automatisera arbetsflöden,inbox,2026-02-13T07:54:33.760581+00:00
https://lnkd.in/e2iA8Pgx,Claude Code ImageGen Skill - GitHub Repository,inbox,2026-02-13T06:28:00.468214+00:00
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsubstack.com%2Fredirect%2Fdc13e2df-58cc-4a3e-b993-388016afb6d0%3Fj%3DeyJ1IjoidGZpYzAifQ.N6kPsuiBSMpYlR0YFhPYCkOBp78o1sId2ojAmZ1Meu4&data=05%7C02%7Ctina.noord%40prove.se%7C00af30d218e44a4e1d7908de693aaea1%7C841dd141033a4ce19918474b099f56c9%7C1%7C0%7C639063897933712677%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=3mtnkolgJkEIP7hgxcWxVJbPV%2FML8fYVr2nWvYOaNXI%3D&reserved=0,Fem perspektiv på AI-sociala nätverket Moltbook,inbox,2026-02-12T11:56:36.179059+00:00
https://youtu.be/V1ypGlS1A5w?si=tNm1YI65DXtAcMWO,SharePoint Agent Access Report guide,later,2026-02-11T11:36:31.698326+00:00
https://youtu.be/Y8NmL93HzdI?si=mbfMRDQOFwBJdRMp,Bygg AI-agent för e-posthantering i Microsoft Copilot,inbox,2026-02-11T11:29:27.582281+00:00
https://www.linkedin.com/pulse/why-ai-strategy-isnt-enough-three-common-gaps-energy-sector-steve-mf7of?utm_source=share&utm_medium=member_ios&utm_campaign=share_via,AI-strategier räcker inte i energisektorn,inbox,2026-02-11T05:23:23.941795+00:00
https://www.linkedin.com/posts/rebeckaisaksson_%F0%9D%90%8C%F0%9D%90%A8%F0%9D%90%AC%F0%9D%90%AD-%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%A6%F0%9D%90%AC-%F0%9D%90%9D%F0%9D%90%A8%F0%9D%90%A7%F0%9D%90%AD-%F0%9D%90%9F%F0%9D%90%9A%F0%9D%90%A2%F0%9D%90%A5-%F0%9D%90%9A-activity-7426987593856344065-xY_F?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,AI-adoption,inbox,2026-02-11T05:16:19.468716+00:00
https://Gp.se,Göteborgs-Posten - Nyhetsportal,inbox,2026-02-10T12:22:06.331919+00:00
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsubstack.com%2Fredirect%2F078bdde1-1ead-4074-bcc2-43fad8efa2e5%3Fj%3DeyJ1IjoidGZpYzAifQ.N6kPsuiBSMpYlR0YFhPYCkOBp78o1sId2ojAmZ1Meu4&data=05%7C02%7Ctina.noord%40prove.se%7C1fa8a7a750824c4e6b9a08de5f003e24%7C841dd141033a4ce19918474b099f56c9%7C1%7C0%7C639052651807557033%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=vQPbPfAPpRGL5nti8zEa4t1C1SfCsmMztFuLnwjqrfw%3D&reserved=0,Introducing Cowork: Claude Code for the rest of your work,inbox,2026-02-10T05:25:29.370821+00:00
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsubstack.com%2Fredirect%2F27ebaf91-06b6-4a51-9690-e18d00aaa963%3Fj%3DeyJ1IjoidGZpYzAifQ.N6kPsuiBSMpYlR0YFhPYCkOBp78o1sId2ojAmZ1Meu4&data=05%7C02%7Ctina.noord%40prove.se%7C1fa8a7a750824c4e6b9a08de5f003e24%7C841dd141033a4ce19918474b099f56c9%7C1%7C0%7C639052651807063278%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=pt0IGdN4roMOPyScYFoPihi0Tm58EFBusTGMQAXGyh4%3D&reserved=0,Agentic AI kurs med Andrew Ng,inbox,2026-02-10T05:21:06.330642+00:00
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Femails.microsoft.com%2Fdc%2FBiizuQa-7R2YP08ZA_fWI6iAgvhxJ69KzGPtU0nJN1Jy5rKDVfRyJ3VXtjfgSAYhtJ5Uko3ejkhhxqqtD5OIG2298lsr1C4S1ufFRINX8JJ4ATKDge8NhBgQ1auI-YQc%2FMTU3LUdRRS0zODIAAAGfxq-t0TxXBL8z8wRKBZ4k7vhE66yfXGB1iiQMUHIHfbNwH9UMigwrYF7T6UKHkZV6XlMNttY%3D&data=05%7C02%7Ctina.noord%40prove.se%7C935d1bc0692548de203508de63c55509%7C841dd141033a4ce19918474b099f56c9%7C1%7C0%7C639057896351061838%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=RpaHN79L7OI0jF1x8XF17XuTxw1A6t2gaXGeEYjlIAM%3D&reserved=0,AI-omvandling: Att bli ett framkantsföretag med Copilot,inbox,2026-02-10T05:10:41.881418+00:00
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsubstack.com%2Fredirect%2Ff3178be4-5100-4fd4-a5c8-898ad36eeef5%3Fj%3DeyJ1IjoidGZpYzAifQ.N6kPsuiBSMpYlR0YFhPYCkOBp78o1sId2ojAmZ1Meu4&data=05%7C02%7Ctina.noord%40prove.se%7C14beb549f8f148d9cfb508de64750300%7C841dd141033a4ce19918474b099f56c9%7C1%7C0%7C639058650886689136%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=99pd4cZRffvyPlfM7JVxwJoWcZwvu4n%2Fr%2BaZi7y1ofI%3D&reserved=0,MIT:s 10 genombrytande teknologier 2026,inbox,2026-02-10T05:08:01.802128+00:00
image://1770668074331,Microsoft Copilot tips - 7 OMG tips från David Fortin,inbox,2026-02-09T20:14:37.195957+00:00
https://agenticdevdays.org/,Agentic Dev Days 2026 - Stockholm AI utvecklarkonferens,inbox,2026-02-08T21:41:14.79163+00:00
https://www.linkedin.com/posts/simonstralberg_m%C3%A5nga-ambiti%C3%B6sa-m%C3%A4nniskor-jag-k%C3%A4nner-har-activity-7426173139795218432-1wUI?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Simon Strålberg,inbox,2026-02-08T21:36:22.824854+00:00
https://youtu.be/rmfI6WYLEas?si=9KgidIUJilt6Bvcp,Kollektiv intelligens och AI-strategi för ledare,inbox,2026-02-08T19:31:29.697581+00:00
https://www.linkedin.com/posts/aiforproductivity_power-platform-certification-roadmap-original-activity-7425878611141820417-Ve5Y?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Certifikat AI,later,2026-02-07T13:08:51.375402+00:00
https://www.linkedin.com/posts/a2araujo_copilot-studio-kit-january-release-now-activity-7424897192995409920-WLo3?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Github,active,2026-02-05T11:32:30.210835+00:00
https://instruct.ai/,Instruct AI - Automate Your Work,active,2026-02-05T11:13:43.566694+00:00
https://www.moltbook.com/,moltbook - the front page of the agent internet,inbox,2026-02-05T11:08:54.158739+00:00
https://www.ox.security/blog/one-step-away-from-a-massive-data-breach-what-we-found-inside-moltbot/,One Step Away From a Massive Data Breach: What We Found Inside MoltBot - OX Security,inbox,2026-02-04T06:15:40.546805+00:00
https://code.claude.com/docs/en/overview,Claude Code overview - Claude Code Docs,done,2026-02-04T06:11:04.758132+00:00
https://www.svtplay.se/video/j3ddrXL/homo-roboticus/2-agent-ai,Homo Roboticus – 2. Agent AI,later,2026-02-03T20:42:18.378473+00:00
https://www.linkedin.com/posts/brijpandeyji_many-people-try-to-learn-generative-ai-like-activity-7424302772382208000-RjLB?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Ai skills,inbox,2026-02-03T20:24:55.796946+00:00
https://www.linkedin.com/posts/danielkarlssonphd_jag-l%C3%A4t-min-ai-sk%C3%B6ta-min-webbl%C3%A4sare-dagen-activity-7424334579194466304-Khq5?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Daniel Larlsson,inbox,2026-02-03T20:23:53.458928+00:00
https://www.linkedin.com/posts/tony-lantz_nadellas-prompter-activity-7414577925792169984-pK7M?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Prompter,later,2026-02-03T20:22:02.288899+00:00
https://www.linkedin.com/posts/angelika-strandberg_nu-har-jag-f%C3%A5tt-djupdyka-i-copilot-igen-inf%C3%B6r-ugcPost-7423992611431985152-oFOP?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Copilot,inbox,2026-02-03T20:18:51.476434+00:00
https://Expressen.se,Expressen - Nyheter och innehåll från Sverige och världen,inbox,2026-01-31T12:29:44.685164+00:00
image://1769839114485,Claude AI integreras i Microsoft 365 Copilot,inbox,2026-01-31T05:58:35.740499+00:00
image://1769837911548,Complete Guide to AI Agent Planning Algorithms - 17 Methods,inbox,2026-01-31T05:38:32.902157+00:00
image://1769836934419,Anders Bjarby delar evidensbaserad guide för AI-prompter,inbox,2026-01-31T05:22:15.993988+00:00
https://www.linkedin.com/posts/tony-lantz_opportunity-matrix-ugcPost-7422216345561288705-zEEK?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Matris för val av ai stöd,inbox,2026-01-30T11:24:20.490954+00:00
https://www.linkedin.com/posts/the-hidden-tricks-session-share-7417302180426227712-4oRS?utm_source=social_share_send&utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_campaign=copy_link,"Copilot, femke",inbox,2026-01-28T06:22:37.328545+00:00
https://www.linkedin.com/posts/drohregger_facilitator-copilot-microsoft365-share-7422027940466618368-SVLN?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,"Facilitator, copilot",inbox,2026-01-28T06:20:22.075912+00:00
https://www.linkedin.com/posts/caroline-kallin_worklifebalance-realroi-m365copilot-share-7421817963210719233-mV51?utm_source=social_share_send&utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_campaign=copy_link,LinkedIn-inlägg av caroline-kallin,inbox,2026-01-28T06:18:44.759869+00:00
https://www.linkedin.com/posts/josefin-stenmark_copilot-chat-samlingssida-med-s%C3%B6k-ugcPost-7421510343723716608-adrL?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Josefin Stenmark copilot,inbox,2026-01-28T06:15:57.581652+00:00
image://1769282165983,25 verkliga användningsfall för AI-agenter - Forskningsöversikt,inbox,2026-01-24T19:16:07.725305+00:00
https://www.linkedin.com/posts/most-people-want-ai-agents-but-dont-know-share-7420557166673059840-u2zu?utm_source=social_share_send&utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_campaign=copy_link,Agent from catch,inbox,2026-01-23T20:25:47.953329+00:00
https://www.linkedin.com/posts/brijpandeyji_stop-structuring-your-agentic-ai-projects-share-7420140189295083521-qVfB?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Mer om agent,inbox,2026-01-23T20:24:39.737396+00:00
https://www.linkedin.com/posts/want-to-build-advanced-copilot-agents-share-7420188495098355712-YC3E?utm_source=social_share_send&utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_campaign=copy_link,Anders Jenssen,inbox,2026-01-23T20:23:55.00477+00:00
https://www.linkedin.com/posts/sibbe_t%C3%A4nk-dig-att-du-kan-skapa-youtube-shorts-share-7420480381096828930-yjCb?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Sibbe silven,inbox,2026-01-23T20:22:57.923408+00:00
https://www.linkedin.com/posts/caroline-kallin_f%C3%B6rsta-hela-arbetsveckan-av-2026-%C3%A4r-avklarad-ugcPost-7420486559923281920-B0xq?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Caroline Kallin,inbox,2026-01-23T20:21:15.998593+00:00
https://www.linkedin.com/posts/goyalshalini_still-confused-between-mcp-a2a-and-functional-share-7419987231890718720-0fe1?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Mvp mm,inbox,2026-01-23T20:19:36.26354+00:00
https://www.linkedin.com/posts/tony-lantz_the-agentic-compact-ugcPost-7420363682334986240-wDB8?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Agent,inbox,2026-01-23T20:17:54.40625+00:00
https://sv-se.eu.invajo.com/event/aisweden/aiswedengothenburgopenhouse,AI Sweden Gothenburg Open House,inbox,2026-01-23T20:14:47.073391+00:00
https://www.linkedin.com/posts/josefin-stenmark_copilottips-copilottips-ugcPost-7419646012790775808-ZMlF?utm_source=social_share_send&utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_campaign=copy_link,Copilot tips,inbox,2026-01-23T20:11:07.368523+00:00
https://www.linkedin.com/posts/andersjensenorg_most-genius-copilot-agent-yet-no-more-posts-share-7420121565725642752-l1FL?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Anders Jensen - Most Genius agent,inbox,2026-01-23T20:09:59.75552+00:00
https://open.spotify.com/episode/1qc4aPuSxI92OfCPHHCs60?si=qHsM0jEWTTO6e6D2aM6MhQ&t=1483&pi=3IGLjwfRRva7d,Klas-Magnus Hilberth: Kommer AI-agenter ersätta mellancheferna?,inbox,2026-01-23T15:55:23.615154+00:00
https://gemini.google.com/share/07525530d042,Spela in röst till Claude - Whisper AI workflow för Windows,done,2026-01-22T10:53:24.50425+00:00
https://opencode.ai/,The open source AI coding agent,inbox,2026-01-22T10:50:53.579826+00:00
https://www.youtube.com/watch?v=5NxGqnTazR8,"The Ultimate Agent Mode Tutorial in VS Code: Vision, MCP, Custom Agents & More!",inbox,2026-01-22T10:47:38.993685+00:00
https://www.linkedin.com/posts/matswarnolf_hur-m%C3%A5nga-g%C3%A5nger-har-du-r%C3%A5kat-skicka-ett-activity-7417132711351549953-4xNV?utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_source=social_share_send&utm_campaign=copy_link,Microsoft Teams får ny Enter-tangent inställning för att undvika att skicka halvskrivna meddelanden,inbox,2026-01-21T21:12:39.357003+00:00
https://www.linkedin.com/pulse/claude-code-f%C3%B6r-alla-johannes-sundlo-10clc?utm_source=share&utm_medium=member_ios&utm_campaign=share_via,Claude Code för alla,later,2026-01-21T20:41:17.513432+00:00
